country,average,iso_code
algeria,1.1714285714285715,DZA
australia,1.8703374777975132,AUS
belgium,1.9638932496075354,BEL
brazil,0.9666666666666667,BRA
canada,1.6565295169946332,CAN
china,0.5,CHN
france,1.6191264301647839,FRA
germany,1.1063808771236665,DEU
india,1.7313432835820894,IND
mexico,2.289473684210526,MEX
morocco,1.4022988505747127,MAR
russia,0.8055555555555556,RUS
south africa,2.3297872340425534,ZAF
spain,1.259470236399886,ESP
switzerland,1.5728380731282647,CHE
united kingdom,1.4283128167994208,GBR
united states,1.6952827870291272,USA