product,Married,Single,Unknown
BANANAS,0.016115650491511188,0.015031142748188637,0.011568892533410164
FLUID MILK WHITE ONLY,0.006820971597419864,0.0057950026330603425,0.008362698817254346
EGGS - X-LARGE,0.004365965867939733,0.004049465216364924,0.005629307861084639
MAINSTREAM WHITE BREAD,0.0029055434845440048,0.002978082042528464,0.002615190266173179
STRAWBERRIES,0.0034478889330925933,0.0022812290036136485,0.0025265397486757828
CARROTS MINI PEELED,0.0027746325142046905,0.002551344676678349,0.0020758996180640205
CUCUMBERS,0.0028800413474649174,0.0022608000871633767,0.0022014878511853312
PEPPERS GREEN BELL,0.002324094759140816,0.0028146507109262924,0.002364013799930557
HAMBURGER BUNS,0.0026063184094827145,0.00231754707730302,0.002482214489927085
SOFT DRINKS 12/18&15PK CAN CAR,0.002106476522732605,0.002387913345076177,0.0029697923361627623